timestamp_ms,inference_ms,fps,detections,convert_ms,rotate_ms,letterbox_ms,infer_ms,parse_ms
1787770207683,436.8,1.54,1,12.53,28.25,0.6,391.32,4.06
1787770208634,904.0,1.53,1,9.54,42.61,1.32,847.01,3.5
1787770209063,415.3,1.52,2,13.29,29.93,0.53,368.74,2.76
1787770209931,842.3,1.53,1,10.21,46.83,2.3,780.01,2.93
1787770210380,428.5,1.53,0,10.38,31.51,0.64,382.19,3.79
1787770211245,862.5,1.52,1,12.41,33.89,0.99,811.67,3.55
1787770211671,424.5,1.52,1,10.51,33.33,0.54,375.2,4.85
1787770212533,848.9,1.51,1,10.28,35.11,1.89,795.96,5.67
1787770212962,410.9,1.52,1,11.42,41.06,0.81,354.78,2.8
1787770213834,844.2,1.51,1,11.4,52.46,1.38,775.25,3.68
1787770214299,449.3,1.51,0,11.3,34.13,0.82,400.02,3.0
1787770215169,846.2,1.51,0,6.93,44.28,1.37,789.79,3.77
1787770215588,408.6,1.51,1,9.91,29.04,0.47,363.74,5.39
1787770216494,882.6,1.51,1,12.81,40.6,1.12,825.13,2.92
1787770216934,426.0,1.51,1,13.74,44.94,0.8,363.45,3.05
1787770217824,874.0,1.5,1,8.87,48.86,1.36,811.73,3.13
1787770218290,447.9,1.5,1,15.15,43.77,0.75,385.15,3.03
1787770219138,824.2,1.5,3,8.59,41.05,1.09,770.48,2.98
1787770219609,458.4,1.5,3,10.47,31.24,0.55,411.22,4.94
1787770220453,842.7,1.5,3,12.07,37.51,1.02,789.2,2.9
1787770220932,449.6,1.5,3,9.94,33.69,0.5,402.65,2.85
1787770221845,886.2,1.5,1,14.1,22.84,1.06,845.14,3.02
1787770222346,455.3,1.5,0,9.88,29.59,0.5,412.59,2.77
1787770223238,862.0,1.5,0,6.85,29.45,1.01,821.68,2.96
1787770223676,423.3,1.5,1,10.27,40.36,0.81,364.61,7.24
1787770224512,824.2,1.51,1,7.12,38.4,1.08,774.67,2.88
1787770224932,413.7,1.51,1,9.83,41.19,0.75,359.22,2.69
1787770225758,814.0,1.51,1,14.0,37.57,0.99,752.19,9.19
1787770226203,430.5,1.51,2,14.2,37.12,0.51,375.78,2.85
1787770227148,926.8,1.51,2,9.26,63.79,1.08,849.25,3.43
1787770227657,478.2,1.5,0,18.84,35.67,0.54,416.99,6.11
1787770228610,928.7,1.5,0,13.84,50.32,1.14,857.64,5.7
1787770229107,461.0,1.5,0,17.6,37.13,0.58,402.87,2.77
1787770230029,913.6,1.49,0,9.12,39.52,1.51,855.35,8.1
1787770230523,479.4,1.49,0,10.47,27.44,0.61,437.46,3.38
1787770231460,914.9,1.48,0,7.97,47.58,1.42,848.85,9.03
1787770231946,475.4,1.48,0,16.93,30.01,0.56,424.42,3.46
1787770232890,914.9,1.47,1,7.38,30.67,9.2,864.35,3.22
1787770233403,490.9,1.47,1,11.36,30.74,0.51,445.37,2.88
1787770234311,906.8,1.47,1,8.42,39.53,1.06,851.0,6.81
1787770234763,428.9,1.47,1,15.87,28.98,0.51,380.69,2.89
1787770235677,889.6,1.46,0,9.98,48.27,1.05,821.53,8.71
1787770236183,468.2,1.46,0,20.43,44.64,0.84,399.13,3.1
1787770237090,884.3,1.46,0,12.12,27.5,1.16,839.66,3.82
1787770237594,488.7,1.45,0,16.49,41.61,0.99,426.54,3.0
1787770238681,1060.0,1.44,1,7.7,37.68,1.17,1010.06,3.37
1787770239240,530.9,1.43,0,13.64,39.77,0.94,473.03,3.49
1787770240231,949.9,1.42,0,13.44,49.36,1.15,882.36,3.6
1787770240737,492.7,1.42,2,11.09,37.9,0.63,438.47,4.58
1787770241680,921.1,1.41,1,12.94,38.48,1.13,865.31,3.24
1787770242169,460.4,1.41,1,15.06,32.08,0.61,409.44,3.23
1787770243142,914.4,1.41,0,7.67,46.76,1.27,855.21,3.47
1787770243654,498.8,1.41,0,13.2,34.3,0.56,446.6,4.09
1787770244561,904.0,1.41,0,11.9,23.07,1.19,864.36,3.49
1787770245099,511.0,1.4,0,17.78,37.6,0.56,451.86,3.14
1787770246108,1008.0,1.39,1,11.71,30.46,1.17,959.75,4.88
1787770246629,487.7,1.38,1,11.28,34.92,0.56,437.4,3.48
1787770247612,981.6,1.37,1,7.61,43.22,1.16,925.94,3.65
1787770248117,497.1,1.37,0,13.32,28.19,0.54,451.3,3.78
1787770249100,967.5,1.37,2,16.5,37.15,4.21,905.17,3.46
1787770249609,483.1,1.37,1,14.59,38.81,0.57,425.81,3.29
